version_taxref	cd_ref_taxref	phylum_taxref	classe_taxref	ordre_taxref	famille_taxref	genre_taxref	nom_valide_taxref	nom_latin_taxref	nom_vern_taxref	habitat_taxref	libelle_indigenat_taxref	indigenat_regional	synthese_reglementations_protections	PROTECTION_NAT	BARC/OSPAR	BERN/BONN	COMMERCE	DO/DHFF	AUTRE_REGL	endemisme_national_taxref	complement_endemisme	statut_presence_regionale	rarete_regionale	presence_d24	presence_d33	presence_d40	presence_d47	presence_d64	presence_d19	presence_d23	presence_d87	presence_d16	presence_d17	presence_d79	presence_d86	enjeu_regional_conservation	statuts_biologiques_specifiques	resume_menace_metropole	categorie_lr_metropole	annee_lr_metropole	resume_menace_na	categorie_lr_aquitaine	annee_lr_aquitaine	categorie_lr_limousin	annee_lr_limousin	categorie_lr_poitou_charente	annee_lr_poitou_charente	determinante_aquitaine	determinante_pc	determinante_limousin	sensibilite_donnees
18.0	3713	Chordata	Aves	Passeriformes	Motacillidae	Anthus	"Anthus campestris (Linnaeus, 1758)"	"Anthus campestris"	"Pipit rousseline"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RE, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"		"DO (Ann. I)"			"Non endémique"	Pr	"Assez commune"	Pr	Pr	Pr	Pr	Pr	Occ	Occ	Occ	Pr	Pr	Pr	Pr	Fort	NC	"Non menacée"	LC	2016	Menacée			NA	2015	EN	2018	"Sous conditions"	"Sous conditions"	Stricte	
18.0	3392	Chordata	Aves	Charadriiformes	Alcidae	Cepphus	"Cepphus grylle (Linnaeus, 1758)"	"Cepphus grylle"	"Guillemot à miroir"	"Marin & Terrestre"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III)"					"Non endémique"	Occ	"Non évaluée"	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Occ	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
18.0	534757	Chordata	Aves	Strigiformes	Strigidae	Bubo	"Bubo scandiacus (Linnaeus, 1758)"	"Bubo scandiacus"	"Harfang des neiges"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RE, RI, RN"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. II)"	"COMMERCE_CITES (Ann. A)"	"DO (Ann. I)"	"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Occ	"Non évaluée"	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Occ	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
18.0	3723	Chordata	Aves	Passeriformes	Motacillidae	Anthus	"Anthus trivialis (Linnaeus, 1758)"	"Anthus trivialis"	"Pipit des arbres"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC	"Non menacée"	LC	2016	"Non menacée"			LC	2015	LC	2018				
18.0	3726	Chordata	Aves	Passeriformes	Motacillidae	Anthus	"Anthus pratensis (Linnaeus, 1758)"	"Anthus pratensis"	"Pipit farlouse"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Peu commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Fort	NC,H	Menacée	VU	2016	Menacée			EN	2015	EN	2018		"Sous conditions"	Stricte	
18.0	3733	Chordata	Aves	Passeriformes	Motacillidae	Anthus	"Anthus spinoletta (Linnaeus, 1758)"	"Anthus spinoletta"	"Pipit spioncelle"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Assez rare"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC,H	"Non menacée"	LC	2016	"Non évaluée"										
18.0	3741	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	"Motacilla flava Linnaeus, 1758"	"Motacilla flava"	"Bergeronnette printanière"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	Commune	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC,HO	"Non menacée"	LC	2016	Menacée			EN	2015	LC	2018	"Sous conditions"		"Sous conditions"	
18.0	3755	Chordata	Aves	Passeriformes	Motacillidae	Motacilla	"Motacilla cinerea Tunstall, 1771"	"Motacilla cinerea"	"Bergeronnette des ruisseaux"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"					"Non endémique"	Pr	"Très commune"	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Pr	Modéré	NC,H	"Non menacée"	LC	2016	"Non menacée"			LC	2015	LC	2018				
18.0	3701	Chordata	Aves	Passeriformes	Hirundinidae	Cecropis	"Cecropis daurica (Laxmann, 1769)"	"Cecropis daurica"	"Hirondelle rousseline"	"Continental (terrestre et/ou eau douce)"	"Indigène ou indéterminé"	Indigène	"PN, RI, RN"	"PN_Oiseaux  (Art. 3)"		"BERN (Ann. II)"			"REGL_Derogation_CNPN (Ann. 1)"		"Non endémique"	Pr	"Non évaluée"	Occ	Pr	Occ	Ab	Occ	Ab	Sa	Ab	Ab	Pr	Occ	Occ	"Non évaluée"	HO	Menacée	VU	2016	"Non évaluée"										
18.0	199465	Chordata	Aves	Passeriformes	Acrocephalidae	Iduna	"Iduna caligata (Lichtenstein, 1823)"	"Iduna caligata"	"Hypolaïs bottée, Hypolaïs russe, Hypolaïs de Russie"	Terrestre	"Indigène ou indéterminé"	Indigène	"PN, RI"	"PN_Oiseaux  (Art. 4)"		"BERN (Ann. III)"					"Non endémique"	Occ	"Non évaluée"	Ab	Occ	Ab	Ab	Ab	Ab	Ab	Ab	Ab	Occ	Ab	Ab	"Non évaluée"	MTEr	"Non évaluée"			"Non évaluée"										
